Year,Andaman & Nicobar Islands,Andhra Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Delhi,Daman & Diu,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Total
1990-91,52,15205,1548,3409,295,.,127,3453,53,220,10943,3070,282,235,.,5911,3484,3962,15595,60,32,50,1465,233,6255,3358,-,14617,.,242,10417,.,5606,110179
1991-92,52,15972,1625,3671,288,.,132,3346,66,243,11094,3102,331,240,.,5850,3702,4163,15264,63,29,63,1566,245,5985,3689,-,15502,.,200,10124,.,5679,112286
1992-93,37,17472,1708,3885,289,.,154,3451,70,244,11210,3143,435,265,.,6165,3918,4037,16556,73,32,68,1554,256,6449,3958,-,17702,.,222,10313,.,5828,119494
1993-94,34,15227,1435,3763,285,.,143,4350,142,256,11821,3509,341,265,.,6094,4035,4011,18710,32,29,96,1611,227,6099,4173,-,18522,.,168,10335,.,5881,121594
1994-95,35,16616,1514,3600,332,.,176,3879,243,248,12034,3568,373,284,.,6184,4273,4036,17763,74,30,85,1774,271,6451,4508,-,18755,.,157,10154,.,5593,123010
1995-96,69,18500,1631,3617,355,.,166,3631,252,304,13770,3896,484,340,.,6701,4307,4604,20536,78,39,154,1790,282,6913,4960,-,19895,.,202,10613,.,6482,134571
1996-97,65,18286,1534,3376,353,.,277,3732,452,341,13444,3982,547,396,.,6463,4760,4207,20256,74,41,165,1718,361,6992,5069,-,19038,.,218,10056,.,6475,132678
1997-98,79,18760,1861,3297,339,.,360,3561,531,341,13386,4017,577,416,.,6955,4897,4234,20542,77,43,165,1643,380,6576,5039,-,19746,.,243,10583,.,6903,135551
1998-99,22,13455,1424,1528,337,1259,725,3619,988,423,15455,3786,428,351,1457,7442,4703,3216,19390,65,25,145,1539,404,7003,4778,-,20434,.,206,10508,713,5879,131706
1999-00,22,13165,1647,1570,323,1380,846,3597,1118,477,14710,4296,508,393,1423,6953,4845,3269,19009,61,27,147,1592,462,6910,5063,-,20249,.,206,10303,616,6373,131558
2000-01,23,14029,1435,1535,295,1275,902,3498,1274,523,14090,4448,507,356,1500,7010,4853,3221,18527,59,30,129,1665,524,7136,5112,-,20601,.,239,9634,744,6091,131268
2001-02,24,14239,1421,1478,275,1277,976,3416,1410,506,13950,4437,501,348,1430,6987,4813,3020,17853,61,34,117,1710,540,7249,5278,-,18912,.,240,9156,698,6194,128549
2002-03,21,14635,1531,1403,254,1252,962,3436,1355,543,13180,4437,509,340,1417,6956,4687,2995,17570,44,41,119,1679,606,6986,5409,-,19550,.,259,8980,715,6085,127957
2003-04,21,14802,1570,1460,263,1295,960,3197,1386,549,12795,4265,530,342,1447,7067,5491,2982,17474,45,47,120,1678,610,6853,5452,-,20246,.,269,9237,679,5942,129074
2004-05,21,15572,1710,1674,287,1343,1059,3156,1681,518,13603,4339,653,424,1607,7596,5493,3028,18912,55,58,113,1749,619,7575,5740,-,21053,.,275,9582,752,6105,136353
2005-06,12,15790,1864,1669,296,1478,1124,3312,1534,543,14055,4304,808,519,1590,7835,5643,2951,18711,59,66,109,1862,637,8332,6005,-,21265,.,307,10503,900,6077,140160
2006-07,12,15879,1967,1602,274,1779,1054,3268,1523,514,14327,4410,851,618,1598,7827,5554,3069,18612,63,76,106,1906,731,9256,6053,-,23691,.,324,10688,1150,5928,144710
2007-08,12,16741,1859,1783,294,1854,1014,3198,1487,522,15107,4707,1160,672,1615,8443,5584,3165,18304,69,90,104,1822,703,10178,6337,-,21042,.,340,10717,1475,5987,146385
2008-09,12,16903,2211,1775,278,1919,1151,3026,1443,519,14863,4450,1294,649,1846,8451,5868,3345,20450,72,95,91,1930,675,10065,6352,-,26122,.,363,10935,1907,6260,155321
2009-10,13,17153,2247,1918,284,1976,1103,2878,1447,520,15576,4640,1545,626,2032,8541,5907,3523,19457,85,100,90,2052,671,10262,6811,46,26790,.,407,11015,2344,6818,158877
2010-11,17,26286,2795,2805,308,2358,1457,3920,1940,583,21282,5967,2210,795,2504,10722,6917,4212,27892,96,94,84,2536,827,12770,8172,64,36848,.,472,13756,2739,8232,211660
2011-12,18,27708,3019,3231,308,2472,1480,3849,1950,586,22220,6142,2489,861,2556,11460,7031,4286,28215,102,100,86,2678,832,12593,8444,61,36996,.,446,14090,2843,8402,217554
2012-13,24,15358,3303,3345,297,2441,1413,3958,1885,597,22587,6163,2654,955,2697,11753,7129,4206,28949,128,116,106,2854,911,12427,8782,65,36869,13656,534,14440,2911,8607,222120
2013-14,20,15719,3518,3419,285,2534,1405,3918,1881,618,22876,6117,2806,943,2688,12107,7132,4047,29123,145,108,134,2714,857,12278,8820,66,37378,14110,552,14463,2936,8859,224576
2014-15,20,16012,3717,3529,276,2809,1411,3868,1874,635,23433,8243,2784,965,2738,12566,7320,4240,28601,160,109,197,2803,716,12413,8986,67,37878,14427,548,14867,2987,9112,230435
